male,female,infancy,childhood,adolescence,adulthood,elderly,Total
192,240,24,18,8,284,98,432
206,216,16,24,10,273,99,422
182,247,12,32,10,296,79,429
204,212,16,24,10,281,85,416
216,246,22,63,23,294,60,462
145,221,11,33,15,232,75,366
168,255,14,39,18,261,91,423
166,256,16,30,16,264,96,422
188,209,15,28,12,257,85,397
175,240,27,25,12,255,96,415
206,215,11,28,19,268,95,421
201,282,17,45,20,326,75,483
165,249,20,44,21,261,68,414
203,251,19,44,17,272,102,454
